Instance;Quality;Number_Of_Cycles;Max_Number_Of_Cycles;Total_number_of_nd_points;Total_number_of_nd_points_found_by_GM;Time;Nb_of_feasible_points_found;Nb_of_maxTime_reached;Nb_of_maxTrials_reached
biosppnw01.txt;83.00957433373219;0;0;421;7;69.058915148;7;0;0
biosppnw03.txt;56.16799957555928;0;0;47;5;40.521671419;10;0;0
biosppnw04.txt;60.710522485896355;0;0;26;4;50.049104886;9;0;0
biosppnw05.txt;21.992635007933373;0;0;73;6;139.317975656;9;0;0
biosppnw06.txt;56.22981618527113;0;0;20;5;3.63540498;9;0;0
biosppnw07.txt;55.14524089579014;0;0;20;5;1.596994473;8;0;0
biosppnw08.txt;93.44466679014278;0;0;20;6;0.089439129;6;0;0
biosppnw09.txt;85.50233254283502;0;0;22;6;0.817466002;8;0;0
biosppnw10.txt;97.75909591692674;0;0;13;7;0.204536723;8;0;0
biosppnw11.txt;98.78035097763707;0;0;28;7;2.691849983;10;0;0
biosppnw12.txt;86.28535590665616;0;0;43;6;0.131854074;7;0;0
biosppnw13.txt;84.09277552934782;0;0;125;7;6.432346486;9;0;0
biosppnw14.txt;82.59903258029357;0;0;103;7;82.685593652;9;0;0
biosppnw15.txt;100.0;0;0;2;3;0.14467335;9;0;0
biosppnw16.txt;1.1281603950428456;0;0;7;2;91.601345759;4;0;0
biosppnw17.txt;68.59262307844561;0;0;58;4;125.705476425;9;0;0
biosppnw18.txt;47.740893741259896;1;1;23;2;15.133536014;10;0;0
biosppnw19.txt;78.92084703420913;0;0;20;5;0.876756154;8;0;0
biosppnw20.txt;83.89216627983805;0;0;9;4;0.205476658;9;0;0
biosppnw21.txt;92.95346244378536;0;0;10;4;0.164261245;9;0;0
biosppnw22.txt;83.81739567727308;0;0;19;5;0.16407216;8;0;0
biosppnw23.txt;92.36200797931052;0;0;6;3;0.233328013;10;0;0
biosppnw24.txt;68.67275336466082;0;0;21;4;0.367951824;9;0;0
biosppnw25.txt;82.05215703773212;0;0;17;7;0.328962155;9;0;0
biosppnw26.txt;61.53987746135857;1;1;19;5;0.301126765;9;0;0
biosppnw27.txt;94.74130410186496;0;0;12;3;0.332242263;9;0;0
biosppnw28.txt;75.86771847955004;0;0;6;2;0.308172036;9;0;0
biosppnw29.txt;54.48761374528676;0;0;12;4;0.679138089;8;0;0
biosppnw30.txt;79.32333252998143;0;0;8;3;0.72986642;8;0;0
biosppnw31.txt;72.7571707562817;0;0;16;4;0.840173655;9;0;0
biosppnw32.txt;96.99405934029014;0;0;8;3;0.077443309;8;0;0
biosppnw33.txt;75.6415789902572;0;0;10;5;0.836877933;9;0;0
biosppnw34.txt;65.01339919015032;0;0;14;3;0.240503382;9;0;0
biosppnw35.txt;87.30159461359095;0;0;14;6;0.409183387;9;0;0
biosppnw36.txt;86.13599217705293;0;0;10;2;0.625998836;10;0;0
biosppnw37.txt;79.48552581566017;0;0;10;4;0.144663194;8;0;0
biosppnw38.txt;91.893921205815;0;0;8;4;0.331407817;10;0;0
biosppnw39.txt;61.0932636635715;0;0;12;4;0.177093227;9;0;0
biosppnw40.txt;93.68447979557624;0;0;10;2;0.145587361;10;0;0
biosppnw41.txt;83.74833372317015;0;0;11;3;0.078847868;8;0;0
biosppnw42.txt;93.58444785952905;1;1;10;2;0.329265627;9;0;0
biosppnw43.txt;61.36126085968817;0;0;21;6;0.323321289;10;0;0
